created_at,LT,LB,KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,deskripsi,,,,,,,,,,,,
06-12-2021,243,529,6,6,4,2,Jakarta Selatan,SHM + IMB + PBB,11000,Utara,13500000000,https://rumahdijual.com/kemang/8972515-rumah-lux-3-lantai-modern-classic-di-kemang-shm.html,"- Kolam renang pribadi
- CCTV dan pos satpam
- Ruang genset
- Free 4 unit AC Daikin dan Water Heater
- Lokasi strategis dekat Perkantoran SCBD Sudirman, Sekolah Nasional maupun Internasional, akses tol dalam kota, pusat perbelanjaan
- SHM, IMB & PBB",,,,,,,,,,,,
07-11-2021,239,178,4,3,,4,Jakarta Selatan,SHM + Hak Pakai,2200,Timur,3800000000,https://rumahdijual.com/tebet/1413013-dijual-cepat-rumah-komplek-gudang-peluru-jalan-1-mobil.html,"Kondisi properti baik dan layak huni, unfurnished, taman , gudang, air Jetpump ",,,,,,,,,,,,
02-12-2021,130,250,5,3,,,Jakarta Selatan,SHM,3500,Timur,3900000000,https://rumahdijual.com/tebet/11750398-rumah-3-lantai-hadap-timur-siap-dihuni-besar-dan.html,"- Bebas banjir
- Lokasi strategis
- One gate sistem
- Lingkungan tenang, nyaman, dan aman dengan kemanaan 24 jam
- Akses ke MT Haryono, cawang, pancoran, tebet, casablanca, kuningan
- Lokasi Strategis dekat ke pusat kkota, rumah sakit, bank, sekolah, swalayan, pasar",,,,,,,,,,,,
06-12-2021,97,311,4,4,2,,Jakarta Selatan,SHM,11000,,6500000000,https://rumahdijual.com/kemang/9292101-townhouse-amaryliss-kemang.html,"- Bangunan 4 lantai
- Semi furnished unit 8AC, 3 Wardrobe, 2 Kitchen
- 2 kolam renang, gym/fitness, playground, basketball court, rooftop",,,,,,,,,,,,
06-12-2021,485,550,3,5,1,1,Jakarta Selatan,SHM + IMB,18000,,22000000000,https://rumahdijual.com/tebet/10851049-rmh-mewah-2-lt-siap-huni-semi-furnish-bbs.html,"- Ruang Musik
- Kitchen set ( dapur kotor dan bersih)
- Lokasi dekat dengan mushola dan masjid Al-Itihad
- Bebas banjir dan penjagaan satpam 24 jam",,,,,,,,,,,,
06-12-2021,90,135,3,3,1,,Jakarta Selatan,SHGB,2200,Utara,3100000000,https://rumahdijual.com/tebet/8555409-dijual-rumah-tebet-timur-brand-new-tahap-finishing-lokasi.html,"- Baru, pembangunan sudah 80%
- Beranda dan pagar penuh
- Lantai Granite
- Air Jetpump",,,,,,,,,,,,
02-12-2021,511,463,6,3,1,,Jakarta Selatan,SHM,33000,,4480000000,https://rumahdijual.com/tebet/11748387-jual-rumah-luas-kawasan-menteng-dalam-jakarta-selatan.html,"- Pondasi dan konstruksi beton bertulang
- Kusen kayu cat dan dinding bata plester
- Lokasi strategis dan dekat dengan fasilitas umum
- Area perkantoran dan row jalan lebar",,,,,,,,,,,,
01-12-2021,205,410,6,5,1,1,Jakarta Selatan,SHM + IMB,4500,Barat,5500000000,https://rumahdijual.com/tebet/5247440-dijual-rumah-mewah-semifurnished-dekat-starbucks-di-tebet-jakarta.html,"- Semi furnished ( wallpaper, kitchen set, wastafel)
- Dekat dari Mall Kota Casablanca, Stasiun Tebet, factory outlet Tebet dan wisata kuliner Tebet, RS Tebet, Sekolah Negeri dan Swasta Favorite
- 10 menit dari Kuningan Jakarta Selatan dan gerbang Tol Tebet
- 15 menit dari kawasan SCBD Sudirman dan Menteng Jakarta Pusat",,,,,,,,,,,,
18-11-2021,695,650,8,6,1,1,Jakarta Selatan,SHM,5500,Selatan,9200000000,https://rumahdijual.com/tebet/9514888-rumah-clasic-asem-baris-tebet-hitung-tanah-saja-dekat.html,"- Jumlah AC 8
- Unfurnish, bangunan tahun 1990
- Cocook dibangun rumah kost
- Lingkungan nyaman dan lokasi strategis
- Dekat stasiun Tebet, LRT Cawang, Bandara Halim 
- Dekat Rsuna Said Kuningan",,,,,,,,,,,,
18-11-2021,135,216,5,4,1,1,Jakarta Selatan,SHM,3500,Utara,4100000000,https://rumahdijual.com/tebet/9515260-rumah-baru-siap-huni-tebet-barat-strategis-dekat-sma.html,"- Rumah baru dan bebas banjir
- Lingkunan aman dan nyaman keamanan 24 jam 
- Dekat SMAN 26 dan sekolah negeri lainnya
- Dekat Pasar Swalayan Gelael dan Pasar Tebet Barat
- Dekat Tol Tebet dan RS Tebet
- Hanya 5 km ke Bandara Halim",,,,,,,,,,,,
06-12-2021,612,485,5,4,1,2,Jakarta Selatan,SHM,13000,,18500000000,https://rumahdijual.com/jakarta-selatan/11255872-dijual-cepat-rumah-mewah-siap-huni-lokasi-pondok-indah.html,"- Lantai Bawah : Master Bed Room dengan kamar kerja, Musholla, kamar mandi didalam, ruang keluarga luas, ruang tamu, ruang makan + dapur bersih, musholla, dapur kotor, kamar pembantu + kamar mandi, gudang, ruang serba guna, garasi 1 mobil + car port 2 mobil
- Lantai Atas : Kamar Tidur berikut kamar mandi didalam, ruang duduk tatami + teras, ruangan terbuka berikut kamar mandi (bisa dirubah menjadi kamar), kamar tidur + kamar mandi.",,,,,,,,,,,,
06-12-2021,790,700,6,6,,6,Jakarta Selatan,SHM,7700,,32000000000,https://rumahdijual.com/jakarta-selatan/11012287-dijual-rumah-ada-kolam-renang-di-pondok-indah-id.html,Ada kolam renang,,,,,,,,,,,,
